#k  alpha sigma peak_neg peak_pos  theta_neg  theta_pos  peak_separation
0.000335463 -0.6 403.429 -0.00904746 0.00605189 6.54 8.34 1.8
0.0183156 -0.6 2980.96 -0.159831 0.107735 4.68 6.46 1.78
54.5982 -0.6 2980.96 -13.3683 8.55699 -0.02 1.86 1.88
0.000335463 -0.6 2980.96 -0.0131788 0.00878479 7.18 8.96 1.78
1 -0.4 4.53999e-05 -0.00298503 0.00230437 -1.1 1.14 2.24
0.0183156 -0.4 4.53999e-05 -0.00226936 0.00166187 -0.68 1.44 2.12
54.5982 -0.4 4.53999e-05 -0.00300521 0.00240778 -1.12 1.12 2.24
0.000335463 -0.4 4.53999e-05 -0.000342726 0.000286095 1.46 3.52 2.06
1 -0.4 0.000335463 -0.00802087 0.00604893 -1.08 1.16 2.24
0.0183156 -0.4 0.000335463 -0.00462282 0.00351207 -0.3 1.78 2.08
54.5982 -0.4 0.000335463 -0.00816722 0.0065267 -1.12 1.12 2.24
0.000335463 -0.4 0.000335463 -0.000477893 0.00040204 2.14 4.22 2.08
1 -0.4 0.00247875 -0.0211571 0.0155667 -1.02 1.2 2.22
0.0183156 -0.4 0.00247875 -0.00816756 0.00648267 0.2 2.26 2.06
54.5982 -0.4 0.00247875 -0.0221877 0.0176249 -1.12 1.12 2.24
0.000335463 -0.4 0.00247875 -0.00065106 0.000548905 2.84 4.92 2.08
1 -0.4 0.0183156 -0.0534394 0.0387368 -0.9 1.28 2.18
0.0183156 -0.4 0.0183156 -0.0128446 0.0105289 0.8 2.86 2.06
54.5982 -0.4 0.0183156 -0.0602156 0.0473082 -1.1 1.14 2.24
0.000335463 -0.4 0.0183156 -0.000876535 0.000738164 3.54 5.62 2.08
1 -0.4 0.135335 -0.123903 0.0907273 -0.68 1.44 2.12
0.0183156 -0.4 0.135335 -0.0187123 0.0156183 1.46 3.52 2.06
54.5982 -0.4 0.135335 -0.162977 0.125815 -1.1 1.14 2.24
0.000335463 -0.4 0.135335 -0.00117314 0.000985586 4.26 6.34 2.08
1 -0.4 1 -0.2524 0.191752 -0.3 1.78 2.08
0.0183156 -0.4 1 -0.0260926 0.0219506 2.14 4.22 2.08
54.5982 -0.4 1 -0.437925 0.33026 -1.08 1.16 2.24
0.000335463 -0.4 1 -0.00156554 0.0013112 4.96 7.06 2.1
1 -0.4 7.38906 -0.445952 0.353939 0.2 2.26 2.06
0.0183156 -0.4 7.38906 -0.0355489 0.0299692 2.84 4.92 2.08
54.5982 -0.4 7.38906 -1.15514 0.849911 -1.02 1.2 2.22
0.000335463 -0.4 7.38906 -0.00208627 0.00174159 5.68 7.78 2.1
1 -0.4 54.5982 -0.701385 0.574852 0.8 2.86 2.06
0.0183156 -0.4 54.5982 -0.0478653 0.0403026 3.54 5.62 2.08
54.5982 -0.4 54.5982 -2.91775 2.11493 -0.9 1.28 2.18
1 -0.4 403.429 -1.02209 0.85272 1.46 3.52 2.06
0.000335463 -0.4 54.5982 -0.0027784 0.00231111 6.4 8.48 2.08
