#k  alpha  peak_neg  peak_pos  theta_neg  theta_pos  peak_separation
0.00673795 -0.4 -0.0257241 0.0215879 4.46 6.56 2.1
1096.63 -0.4 -4.41956 3.38947 -1.1 1.14 2.24
0.367879 -0.4 -0.417151 0.349231 1.66 3.74 2.08
20.0855 -0.2 -3.32558 2.98898 -0.9 1.42 2.32
0.00673795 -0.2 -0.0130937 0.0160107 4.48 7.24 2.76
1096.63 -0.2 -4.43153 3.5629 -1.12 1.14 2.26
0.367879 -0.2 -0.344294 0.416493 1.22 3.92 2.7
20.0855 0 -3.58832 3.51536 -1.28 1.4 2.68
0.00673795 0 -0.00671868 0.0213514 -2.84 8.14 10.98
1096.63 0 -4.44089 3.58003 -1.12 1.14 2.26
0.367879 0 -0.332485 0.868039 -2.22 4.18 6.4
0.00673795 0.2 -0.339232 0.157796 -20 9.84 29.84
20.0855 0.2 -3.87691 3.52257 -1.54 1.46 3
1096.63 0.2 -4.44804 3.57964 -1.12 1.14 2.26
0.367879 0.2 -2.23691 2.22565 -16.36 4.86 21.22
0.00673795 0.4 -3.13263 1.08515 -19.06 12.86 31.92
20.0855 0.4 -4.12713 3.42695 -1.6 1.52 3.12
1096.63 0.4 -4.4535 3.57747 -1.12 1.14 2.26
0.367879 0.4 -3.14483 2.31677 -9.06 6.14 15.2
0.00673795 0.6 -3.83593 1.25586 -13.04 18.72 31.76
20.0855 0.6 -4.3201 3.2817 -1.54 1.54 3.08
1096.63 0.6 -4.45769 3.5743 -1.12 1.14 2.26
0.367879 0.6 -3.84677 1.89957 -6.4 8.58 14.98
0.00673795 0.8 -4.42852 0.15666 -9.96 20 29.96
20.0855 0.8 -4.46698 3.08854 -1.48 1.48 2.96
1096.63 0.8 -4.46094 3.56998 -1.12 1.14 2.26
0.367879 0.8 -4.43189 1.22423 -5 14.92 19.92
0.00673795 1 -4.94982 0.00434816 -8.08 3.06 11.14
20.0855 1 -4.58292 2.86229 -1.38 1.3 2.68
1096.63 1 -4.46356 3.56424 -1.12 1.12 2.24
0.367879 1 -4.9267 0.244104 -4.12 2.32 6.44
0.00673795 1.2 -5.41892 0.00349166 -6.82 0.68 7.5
20.0855 1.2 -4.67949 2.64475 -1.3 1 2.3
1096.63 1.2 -4.46581 3.55675 -1.12 1.12 2.24
0.367879 1.2 -5.34592 0.204635 -3.54 0.26 3.8
0.00673795 1.4 -5.84566 0.00352551 -5.9 0.02 5.92
20.0855 1.4 -4.76368 2.47137 -1.22 0.7 1.92
1096.63 1.4 -4.468 3.54693 -1.12 1.12 2.24
0.367879 1.4 -5.70132 0.209239 -3.1 -0.36 2.74
0.00673795 1.6 -6.23548 0.00394578 -5.2 -0.38 4.82
20.0855 1.6 -4.83904 2.34704 -1.14 0.48 1.62
1096.63 1.6 -4.47053 3.53442 -1.12 1.1 2.22
0.367879 1.6 -6.00352 0.230754 -2.76 -0.68 2.08
0.00673795 1.8 -6.59232 0.00472683 -4.66 -0.66 4
20.0855 1.8 -4.90772 2.26187 -1.06 0.3 1.36
1096.63 1.8 -4.47388 3.51872 -1.1 1.08 2.18
0.367879 1.8 -6.26225 0.263375 -2.5 -0.88 1.62
